searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
honor 9 lite	359	False	honor 9 lite	11	11
пароочиститель	231	False	пароочиститель	13	13
Вытяжка	912	False	Вытяжка	15	15
LG GA B389	1	False	LG GA B389	8	8
обогреватели	132	False	обогреватели	14	14
Шашлычница	145	False	Шашлычница	13	13
GVS H10A2TCE-07	2	False	GVS H10A2TCE-07	19	19
Океан	11	True	ocean	11	16
отпариватель ручной	149	False	отпариватель ручной	10	10
насос водяной	2	False	насос водяной	10	10
варочная панель	1352	False	варочная панель	14	14
ue55nu7170uxru	3	False	ue55nu7170uxru	4	4
Большие кксирюли	1	False	Большие кксирюли	14	14
варочные поверхности электрические	1	False	варочные поверхности электрические	14	14
холодильник pozis	33	False	холодильник pozis	14	14
смартфон apple iphone 6 s	17	False	смартфон apple iphone 6 s	13	13
Lg 24mp	1	False	Lg 24mp	2	2
блютуз наушники	16	True	bluetooth наушники	12	11
LG 32LK540BPLA LED	2	False	LG 32LK540BPLA LED	1	1
пила цепная	25	False	пила цепная	11	11
gtx 1060	72	False	gtx 1060	3	3
блендеры	134	False	блендеры	15	15
фритюрница	327	False	фритюрница	13	13
Фен	382	False	Фен	11	11
iPad	10	False	iPad	8	8
Dell	12	False	Dell	11	11
бумажные пылезборники ЕХ1	8	False	бумажные пылезборники ЕХ1	13	13
scarlett	22	False	scarlett	12	12
автородар	2	False	автородар	14	14
Смартфон honor v10	2	False	Смартфон honor v10	10	10
гриль	513	False	гриль	14	14
Web-камера Logitech C930e	1	False	Web-камера Logitech C930e	0	0
DELONGHI CTOV 2103 AZ	1	False	DELONGHI CTOV 2103 AZ	4	4
смартфон хонер	15	False	смартфон хонер	14	14
Samsung WW80K42E07W	3	False	Samsung WW80K42E07W	14	14
беспроводные наушники	1750	False	беспроводные наушники	14	14
кухонный комбайн с нарезкой кубиками	19	False	кухонный комбайн с нарезкой кубиками	22	22
Philips 43pfs4012	1	False	Philips 43pfs4012	2	2
dualshock 4	77	False	dualshock 4	5	5
телефон	1177	False	телефон	14	14
обогреватель	346	False	обогреватель	15	15
увлажнитель воздуха	3746	False	увлажнитель воздуха	13	13
мясорубка	1059	False	мясорубка	13	13
Моющий пылесос	107	False	Моющий пылесос	12	12
canon pixma	30	False	canon pixma	10	10
вафельницы	257	False	вафельницы	9	9
Емкость для чернил	1	False	Емкость для чернил	12	12
стиральная машина candy css4 1262d3/2-07	2	False	стиральная машина candy css4 1262d3/2-07	14	14
узкие холодильники	2	False	узкие холодильники	14	14
ПРОЦЕССОРЫ	3	False	ПРОЦЕССОРЫ	14	14
сушилка для посуды	6	False	сушилка для посуды	2	2
хлебопечка panasonic	70	False	хлебопечка panasonic	3	3
lg ga-b499seqz	2	False	lg ga-b499seqz	11	11
радиотелефон	327	False	радиотелефон	13	13
карта памяти	418	False	карта памяти	14	14
Обсорбирующие таблетки стоп влажность	1	True	абсорбирующие таблетки stop влажность	0	0
соковыжималки polaris pea	6	False	соковыжималки polaris pea	3	3
beg2001	1	False	beg2001	14	14
Микроволновая печь	209	False	Микроволновая печь	14	14
Ricoh sp 450dn	1	False	Ricoh sp 450dn	3	3
кронштейн для телевизора	857	False	кронштейн для телевизора	15	15
Пылесос филипс	8	True	пылесос philips	14	13
кастрюл красный	4	False	кастрюл красный	14	14
Huawei y5	3	False	Huawei y5	11	11
COBOT Pro20	1	True	robot pro20	0	0
ломтерезка	89	False	ломтерезка	4	4
Пылесосы	198	False	Пылесосы	15	15
leran	446	False	leran	11	11
Зашитное стекло для xiaomi redmi 6	1	False	Зашитное стекло для xiaomi redmi 6	14	14
рэмо	1	False	рэмо	9	9
мобильные кондиционеры	24	False	мобильные кондиционеры	3	3
polaris pcm	160	False	polaris pcm	28	28
Jbl clip 2	3	False	Jbl clip 2	3	3
смартфон samsung	618	False	смартфон samsung	14	14
мышь проводная razer deathadder elite overwatch	10	False	мышь проводная razer deathadder elite overwatch	14	14
мрз плеер	5	False	мрз плеер	12	12
тепловентилятор	235	False	тепловентилятор	14	14
Термос	243	False	Термос	13	13
видеоняня	43	False	видеоняня	14	14
Утюг	573	False	Утюг	14	14
MOULINEX DD650832	2	False	MOULINEX DD650832	5	5
электрогриль	719	False	электрогриль	13	13
xiaomi	864	False	xiaomi	12	12
ноутбук asus x507ma	1	False	ноутбук asus x507ma	8	8
Пароварка	193	False	Пароварка	11	11
philips oneblade	93	False	philips oneblade	3	3
ps	25	False	ps	11	11
стиральная машина узкая lg fh0h3nds1	9	False	стиральная машина узкая lg fh0h3nds1	14	14
samsung galaxy a8	137	False	samsung galaxy a8	10	10
Смартфон	566	False	Смартфон	14	14
iPhone 7	64	False	iPhone 7	3	3
Гриль	472	False	Гриль	14	14
Свч	31	False	Свч	11	11
ryzen 1400	3	False	ryzen 1400	5	5
процессоры	101	False	процессоры	14	14
mp3 плеер	285	False	mp3 плеер	12	12
телевизор samsung с голосовым управлением	8	False	телевизор samsung с голосовым управлением	14	14
lenovo ideapad	101	False	lenovo ideapad	6	6
WEISSGAUFF TEL 06 2M BL	3	False	WEISSGAUFF TEL 06 2M BL	9	9
Моноблоки	32	False	Моноблоки	12	12
элетрощетка	3	False	элетрощетка	14	14
вытяжки шириной 50 см	18	False	вытяжки шириной 50 см	3	3
iphone 8 64 gb	2	False	iphone 8 64 gb	3	3
электрический чайник	2730	False	электрический чайник	14	14
iphone xr	79	False	iphone xr	3	3
выпрямитель	58	False	выпрямитель	13	13
Ballu	14	False	Ballu	12	12
leran микроволновка	14	False	leran микроволновка	9	9
ноутбук asus tuf gaming fx504ge-e4627t	2	False	ноутбук asus tuf gaming fx504ge-e4627t	14	14
Термопот	518	False	Термопот	14	14
морозильные камер	2	False	морозильные камер	14	14
lg 49uk6450	12	False	lg 49uk6450	2	2
свч печь	89	False	свч печь	16	16
Выпря	5	False	Выпря	14	14
жаровни	4	False	жаровни	3	3
Чайник Kitfort KT-628	1	False	Чайник Kitfort KT-628	14	14
индукционная варочная панель	680	False	индукционная варочная панель	14	14
Кофе в зернах	39	False	Кофе в зернах	12	12
usb флешка	580	False	usb флешка	14	14
швейные	3	False	швейные	14	14
Xiaomi Mi Band 3	36	False	Xiaomi Mi Band 3	2	2
Thermex H10 u	1	False	Thermex H10 u	7	7
мфу	370	False	мфу	11	11
колонки для планшетов	1	False	колонки для планшетов	14	14
Весы напольные	258	False	Весы напольные	14	14
xt[jk-frrevekznjh	1	True	чехол-аккумулятор	7	5
весы кухонные электронные	550	False	весы кухонные электронные	14	14
AEG SKR81811DC	1	False	AEG SKR81811DC	0	0
honor 10	779	False	honor 10	11	11
Хлебопечка Панасоник	4	True	хлебопечка panasonic	3	3
кронштейн для свч	155	False	кронштейн для свч	11	11
Редмонд	12	True	redmond	10	14
Xiaomi	426	False	Xiaomi	12	12
Усилитель в машину	2	False	Усилитель в машину	9	9
эпилятор	265	False	эпилятор	14	14
Ресивер	78	False	Ресивер	11	11
Mini jack	1	False	Mini jack	5	5
Автомагнитолы 24в	1	False	Автомагнитолы 24в	13	13
автокресла	2	False	автокресла	12	12
наушники с микрофоном	229	False	наушники с микрофоном	15	15
babyliss	129	False	babyliss	13	13
держатель	19	False	держатель	13	13
вытяжка наклонная 50 см белая	8	False	вытяжка наклонная 50 см белая	11	11
плойка babyliss	9	False	плойка babyliss	4	4
aipods	1	True	airpods	0	1
сормат	1	True	формат	14	14
кофемашина	1473	False	кофемашина	14	14
samsung galaxy note 9	34	False	samsung galaxy note 9	2	2
электронные книги	253	False	электронные книги	12	12
usb aux 3.5	1	False	usb aux 3.5	11	11
otg	5	False	otg	11	11
стиральные машинки indesit	3	False	стиральные машинки indesit	10	10
Водонагреватель	274	False	Водонагреватель	14	14
SCARLET SC-1173	1	False	SCARLET SC-1173	11	11
бритва	171	False	бритва	13	13
кофе зерновой	10	False	кофе зерновой	14	14
монитор 144 гц	66	False	монитор 144 гц	14	14
H 5600	1	False	H 5600	14	14
thomas	419	False	thomas	12	12
Нетбук Prestigio SmartBook 116C	2	False	Нетбук Prestigio SmartBook 116C	2	2
мешки для пылесоса	165	False	мешки для пылесоса	14	14
кабель usb a - usb b	3	False	кабель usb a - usb b	13	13
стиральная машина zanussi	35	False	стиральная машина zanussi	6	6
электробритвы	202	False	электробритвы	13	13
панель для мультипекаря EUROSTEK	1	False	панель для мультипекаря EUROSTEK	14	14
bluetooth	57	False	bluetooth	17	17
электроплиты	86	False	электроплиты	14	14
тонер для мфу	15	False	тонер для мфу	11	11
расческа выпрямитель	42	False	расческа выпрямитель	2	2
электробритва	392	False	электробритва	13	13
iphone 4s	3	False	iphone 4s	3	3
Кофемашина	324	False	Кофемашина	14	14
Игровые рули	14	False	Игровые рули	4	4
honor 7 a pro	95	False	honor 7 a pro	11	11
Отпарива	1	False	Отпарива	14	14
asus x59sl	1	False	asus x59sl	14	14
Очиститель воздуха	32	False	Очиститель воздуха	11	11
вафельница	1078	False	вафельница	9	9
разветвитель	16	False	разветвитель	13	13
весы кухонные redmond	1	False	весы кухонные redmond	3	3
kitfort	253	False	kitfort	3	3
чехол для смартфона Xiaomi Redmi Note 5	1	False	чехол для смартфона Xiaomi Redmi Note 5	14	14
рация	62	False	рация	3	3
электропечь с 2 комфорками и гриль	18	False	электропечь с 2 комфорками и гриль	13	13
встраиваемый холодильник	438	False	встраиваемый холодильник	14	14
сковороды	176	False	сковороды	15	15
стиральная машина lg	438	False	стиральная машина lg	14	14
Фильтр для пылесоса differ 1608	1	False	Фильтр для пылесоса differ 1608	14	14
индукционная плитка	553	False	индукционная плитка	14	14
samsung ue43nu7170u	11	False	samsung ue43nu7170u	1	1
honor	1028	False	honor	11	11
телефоны	685	False	телефоны	14	14
мини клавиатура	1	False	мини клавиатура	14	14
картриджPGI-470	1	False	картриджPGI-470	14	14
кронштейн для ТВ 55	2	False	кронштейн для ТВ 55	11	11
j1knd	1	False	j1knd	0	0
iphone x	367	False	iphone x	3	3
nokia 6.1	11	False	nokia 6.1	13	13
Dyson v8	1	False	Dyson v8	6	6
Планшет	719	False	Планшет	14	14
адаптер для индукционных плит	10	False	адаптер для индукционных плит	14	14
mp3 плееры	36	False	mp3 плееры	12	12
духовой шкаф leran	141	False	духовой шкаф leran	13	13
xiaomi mi power bank	20	False	xiaomi mi power bank	2	2
машинка для стрижки волос	606	False	машинка для стрижки волос	14	14
Мечта 341Ч	2	False	Мечта 341Ч	0	0
Колонки	487	False	Колонки	14	14
электропечь брест	1	False	электропечь брест	4	4
Наушники безпроводные	16	False	Наушники безпроводные	14	14
тумба под телевизор	32	False	тумба под телевизор	14	14
фильтр Magic Filter	1	False	фильтр Magic Filter	14	14
Измельчитель Moulinex AT7231	2	False	Измельчитель Moulinex AT7231	10	10
Kitfort КТ-1343-2	1	False	Kitfort КТ-1343-2	1	1
вертикальная стиральная машина	30	False	вертикальная стиральная машина	13	13
Колонки jbl	5	False	Колонки jbl	14	14
Электрогриль	308	False	Электрогриль	13	13
ssd	243	False	ssd	11	11
сушилка для овощей и фруктов	471	False	сушилка для овощей и фруктов	11	11
индукционные кастрюли	2	False	индукционные кастрюли	14	14
wifi	18	False	wifi	14	14
флешка 64 гб	14	False	флешка 64 гб	14	14
электротерка	11	False	электротерка	13	13
телемебель	15	False	телемебель	20	20
mx150 8130u	1	False	mx150 8130u	5	5
haier c2f636cxmv	5	False	haier c2f636cxmv	5	5
power bank	269	False	power bank	13	13
huawei	331	False	huawei	11	11
телефон huawei	12	False	телефон huawei	13	13
Электробигуди	11	False	Электробигуди	4	4
хлебопечь	319	False	хлебопечь	13	13
принтер и сканер 2 в 1	294	False	принтер и сканер 2 в 1	14	14
видеорегистраторы	144	False	видеорегистраторы	14	14
jbl	321	False	jbl	11	11
музыкальный центр	281	False	музыкальный центр	14	14
наушники	3062	False	наушники	14	14
сплит система	113	False	сплит система	11	11
электрическая плита	473	False	электрическая плита	15	15
UE55NU7140	1	False	UE55NU7140	1	1
Адаптер для телефона	1	False	Адаптер для телефона	14	14
SF-P2218ERU	1	False	SF-P2218ERU	0	0
ноутбук acer travelmate p2	1	False	ноутбук acer travelmate p2	14	14
xiaomi redmi	32	False	xiaomi redmi	10	10
НООБУК С 3ГЦ  ПРОЦЕССОР	1	True	ноутбук с 3 гц процессор	14	0
френч-пресс	65	False	френч-пресс	13	13
водонагреватель накопительный	1765	False	водонагреватель накопительный	13	13
xbox one s	144	False	xbox one s	11	11
ноутбуки	628	False	ноутбуки	13	13
Iphone	253	False	Iphone	3	3
принтер 3 в 1	25	False	принтер 3 в 1	14	14
вытяжка 45 см	10	False	вытяжка 45 см	15	15
Блендер Philips	4	False	Блендер Philips	10	10
lg fh2a8wd2	5	False	lg fh2a8wd2	5	5
гриль delong	1	False	гриль delong	3	3
Газовая плита FLAMA RG 24011 W	3	False	Газовая плита FLAMA RG 24011 W	44	44
Apple watch	48	False	Apple watch	3	3
холодильники haier	118	False	холодильники haier	13	13
Наушники	1220	False	Наушники	14	14
daewoo	12	False	daewoo	10	10
Кронштейн 100 на 200	4	False	Кронштейн 100 на 200	11	11
Кабель	64	False	Кабель	13	13
домашняя коптильня	58	False	домашняя коптильня	12	12
Philips FC9733 PowerPro Expert	1	False	Philips FC9733 PowerPro Expert	2	2
Bosch кофемолка	3	False	Bosch кофемолка	2	2
Чайник	575	False	Чайник	14	14
ZB2901	1	False	ZB2901	14	14
перфоратор	232	False	перфоратор	13	13
apple airpods	1305	False	apple airpods	1	1
playstation4	1	True	playstation 4	14	13
фильтр для пылесоса samsung	51	False	фильтр для пылесоса samsung	14	14
delonghi nespresso	5	False	delonghi nespresso	8	8
планшет детский	19	False	планшет детский	14	14
IDE	1	False	IDE	11	11
крышка для свч	36	False	крышка для свч	8	8
Гофре	105	False	Гофре	2	2
мфу лазерный	545	False	мфу лазерный	14	14
Psp	43	False	Psp	11	11
Игры на xbox	4	False	Игры на xbox	10	10
KRONA Kamilla slim 600 inox (2 мотора)	4	False	KRONA Kamilla slim 600 inox (2 мотора)	4	4
помпа для воды	34	False	помпа для воды	13	13
смартфоны micromax	10	False	смартфоны micromax	17	17
gorenje bo 635e20 b	1	False	gorenje bo 635e20 b	6	6
телевизоры~/page/2/	3	False	телевизоры~/page/2/	14	14
usb флешка~/sort/price/dir/asc/	3	False	usb флешка~/sort/price/dir/asc/	22	22
полностью встраиваемые вытяжки	6	False	полностью встраиваемые вытяжки	11	11
4s	1	False	4s	11	11
красный холодильник	3	False	красный холодильник	5	5
лампы светодиодные	98	False	лампы светодиодные	15	15
Вытяжк	8	True	вытяжка	14	15
сучкорез-измельчитель для дачи	7	False	сучкорез-измельчитель для дачи	11	11
сушильная машина	86	False	сушильная машина	14	14
7000705  Поиск Корзина 1 MyBosch Поиск дилеров  Войти Регистрация  Фильтр для воды BRITA для кофемашин, для TCA7.., TES5/6/7/8.., CTL6..	1	False	7000705  Поиск Корзина 1 MyBosch Поиск дилеров  Войти Регистрация  Фильтр для воды BRITA для кофемашин, для TCA7.., TES5/6/7/8.., CTL6..	0	0
ресивер	193	False	ресивер	11	11
Prestigio 141s	2	False	Prestigio 141s	3	3
Вытяжки	464	False	Вытяжки	14	14
Компрессор	40	False	Компрессор	13	13
хлебопечки	141	False	хлебопечки	13	13
humax hd 9000i	1	False	humax hd 9000i	14	14
чаша для мультиварок	21	False	чаша для мультиварок	5	5
Редмонд мультипекарь	3	True	redmond мультипекарь	4	4
плита электрическая	138	False	плита электрическая	15	15
телефон vertex c311	6	False	телефон vertex c311	14	14
флеш карта	61	False	флеш карта	14	14
43к6000	2	False	43к6000	14	14
коптильня	54	False	коптильня	10	10
радиоприемник	591	False	радиоприемник	12	12
клавиатура	584	False	клавиатура	14	14
МОНОблоки	1	False	МОНОблоки	12	12
Хонор 7а	17	True	honor 7а	13	11
Miele	42	False	Miele	11	11
тэн к bosch	1	False	тэн к bosch	11	11
проекторы	84	False	проекторы	9	9
кофеварки рожковые	28	False	кофеварки рожковые	9	9
фен	612	False	фен	11	11
Honor	703	False	Honor	11	11
Оверлок Janome	1	False	Оверлок Janome	3	3
термо	1	False	термо	14	14
варочная газовая панель	7	False	варочная газовая панель	14	14
велотренажёр	1	False	велотренажёр	0	0
настольная лампа	270	False	настольная лампа	13	13
С	1	False	С	11	11
увлажнители и ионизаторы воздуха	517	False	увлажнители и ионизаторы воздуха	13	13
yamaha	28	False	yamaha	3	3
системные блоки	33	False	системные блоки	13	13
чехол для планшета	127	False	чехол для планшета	13	13
скребок для стеклокерамических	51	False	скребок для стеклокерамических	3	3
Maxtra	1	False	Maxtra	4	4
переходник vga-hdmi	2	False	переходник vga-hdmi	8	8
маникюрный набор	93	False	маникюрный набор	11	11
самсунг	24	True	samsung	14	12
телескоп	186	False	телескоп	12	12
внешняя звуковая карта	65	False	внешняя звуковая карта	13	13
Oriel-963	1	False	Oriel-963	10	10
аудиосистема	33	False	аудиосистема	13	13
Телефон	459	False	Телефон	14	14
hbg536ys0r	2	False	hbg536ys0r	1	1
TEFAL Intense Pure Air PU4025	1	False	TEFAL Intense Pure Air PU4025	0	0
Холодильник leran	45	False	Холодильник leran	13	13
wi fi smart	1	False	wi fi smart	13	13
Електро камины	1	True	электро камины	2	8
hp принтер laserjet pro	11	False	hp принтер laserjet pro	4	4
nikon д810	3	False	nikon д810	3	3
Сетевой фильтр	53	False	Сетевой фильтр	13	13
gtx 1030	3	False	gtx 1030	7	7
Авто зеркало семь в одном	1	False	Авто зеркало семь в одном	0	0
Принтер	381	False	Принтер	14	14
apple watch	425	False	apple watch	3	3
выпрямитель для волос	221	False	выпрямитель для волос	14	14
xbox	104	False	xbox	11	11
