searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
бустер	6	True	booster	29	29
Патчи	826	False	Патчи	31	31
mizon cream	76	False	mizon cream	30	30
316	1	False	316	16	16
енот	3	False	енот	4	4
увлажняющий крем для сухой кожи лица кожи	52	False	увлажняющий крем для сухой кожи лица кожи	0	0
крем под макияж	4	False	крем под макияж	8	8
противоотечные патчи	7	False	противоотечные патчи	32	32
ciracle vitamin ace sparkling serum	1	False	ciracle vitamin ace sparkling serum	32	32
Крем Елизавекка (Elizavecca) Milky Piggy Moisture Sparkle	1	False	Крем Елизавекка (Elizavecca) Milky Piggy Moisture Sparkle	32	32
Пилинг гель с лимоном и газированой водой	2	False	Пилинг гель с лимоном и газированой водой	32	32
Ночные маски для лица	9	False	Ночные маски для лица	32	32
repair machine ginseng cream	26	False	repair machine ginseng cream	31	31
Затирка пор	2	True	затирка pore	27	29
пилинги	18	False	пилинги	32	32
крем для лица timetox	12	False	крем для лица timetox	32	32
[3W CLINIC] Foam Cleansing	2	False	[3W CLINIC] Foam Cleansing	32	32
Ottie	28	False	Ottie	29	29
Holika Holika Soda	3	False	Holika Holika Soda	0	0
массажный крем	23	False	массажный крем	23	23
 депиляции	4	False	депиляции	23	23
Seantree	1	False	Seantree	32	32
missha the style	5	False	missha the style	32	32
a pieu	136	False	a pieu	28	28
the skin house wrinkle system sample	4	False	the skin house wrinkle system sample	31	31
Носочки для ног	1	False	Носочки для ног	9	9
Pampas	1	False	Pampas	0	0
Hello beauty	10	False	Hello beauty	31	31
7900	1	False	7900	1	1
мускус	1	False	мускус	20	20
пилинг скатка	317	False	пилинг скатка	19	19
Нитевая маска	1	False	Нитевая маска	31	31
зубные пасты	130	False	зубные пасты	18	18
Кислотные пилинги для кожи головы	1	False	Кислотные пилинги для кожи головы	32	32
slc	1	False	slc	16	16
4716	1	False	4716	1	1
отбеливающий крем	117	False	отбеливающий крем	25	25
крем с лошадиных жиром	12	True	крем с лошадиным жиром	22	19
8610	4	False	8610	1	1
keranove	1	False	keranove	0	0
elizavecca маска пленка	7	False	elizavecca маска пленка	32	32
карандаш для бровей gray brown	38	False	карандаш для бровей gray brown	32	32
очищающая пенка	40	False	очищающая пенка	32	32
secret key toner	34	False	secret key toner	30	30
помада для губ	116	False	помада для губ	31	31
FarmStay Grape Stem Cell	5	False	FarmStay Grape Stem Cell	32	32
пилинг-скатка	90	False	пилинг-скатка	19	19
Крем-гель	5	False	Крем-гель	31	31
Nonco mastic band patch	4	False	Nonco mastic band patch	32	32
дневной крем	16	False	дневной крем	23	23
TONY MOLY Floria Brightening Peeling Ge	1	False	TONY MOLY Floria Brightening Peeling Ge	30	30
Collagen Eye Patch	2	False	Collagen Eye Patch	28	28
Deep Purple Camellia Oil	3	False	Deep Purple Camellia Oil	32	32
масло для ресниц	11	False	масло для ресниц	18	18
Средство для роста волос	1	False	Средство для роста волос	25	25
От акне	2	False	От акне	23	23
BT21	17	False	BT21	0	0
маска Energy Flash	6	False	маска Energy Flash	32	32
Mijin Cosmetics Mj Care Mask	5	False	Mijin Cosmetics Mj Care Mask	25	25
ББ – крем всесезонный Eunyul Four Season BB Cream SPF 50+/PA	2	False	ББ – крем всесезонный Eunyul Four Season BB Cream SPF 50+/PA	31	31
Missha bb	168	False	Missha bb	25	25
база под тушь	10	False	база под тушь	25	25
флакон для смешивания филлера	1	False	флакон для смешивания филлера	31	31
limoni lip	3	False	limoni lip	22	22
маски пленки	12	False	маски пленки	26	26
Маски тканевые	11	False	Маски тканевые	31	31
крем с лошадиным жиром	10	False	крем с лошадиным жиром	19	19
. Mizzon All in one черный улиточный работает как-то более эффективно и эффектно за те же деньги.	9	False	. Mizzon All in one черный улиточный работает как-то более эффективно и эффектно за те же деньги.	32	32
out pore clean remover secret key	1	False	out pore clean remover secret key	30	30
Крем для век с медом	4	False	Крем для век с медом	30	30
шампунь для жирных волос	33	False	шампунь для жирных волос	29	29
2162-5	1	False	2162-5	0	0
its skin power 10 formula	45	False	its skin power 10 formula	31	31
стеклянная	1	False	стеклянная	5	5
the saem cell renew bio micro peel soft gel	43	False	the saem cell renew bio micro peel soft gel	32	32
i am real	3	False	i am real	21	21
крема деопрос с гиалуроновой кислотой	2	True	крема deoproce с гиалуроновой кислотой	28	0
han all lim	1	False	han all lim	16	16
clean it zero	10	False	clean it zero	31	31
гидрогелевые патчи для губ	23	False	гидрогелевые патчи для губ	31	31
It's Skin UV Away Sun Mist 100 мл	1	False	It's Skin UV Away Sun Mist 100 мл	32	32
shikkoku black	4	False	shikkoku black	16	16
etude house, soon jung, ph 6.5 whip cleanser	6	False	etude house, soon jung, ph 6.5 whip cleanser	32	32
eco soul lip oil	2	False	eco soul lip oil	26	26
missha кушон	138	False	missha кушон	26	26
missha сыворотка	4	False	missha сыворотка	22	22
гель алое 99	5	False	гель алое 99	26	26
it s skin	2	False	it s skin	26	26
карандаш для глаз	29	False	карандаш для глаз	23	23
тон для лица	1	False	тон для лица	25	25
time revolution bridal cream	22	False	time revolution bridal cream	31	31
тинты	63	False	тинты	32	32
Patch	4	False	Patch	30	30
cp-1	227	False	cp-1	13	13
cosrx tea	3	False	cosrx tea	30	30
корейская косметика	25	False	корейская косметика	25	25
парфюм	3	True	parfum	1	1
Mizon cream	47	False	Mizon cream	30	30
secret key hyaluron soft micro-peel toner	3	False	secret key hyaluron soft micro-peel toner	32	32
крем солнцезащитный для лица	23	False	крем солнцезащитный для лица	28	28
a pieu пудра	1	False	a pieu пудра	21	21
крем для шеи и декольте	30	False	крем для шеи и декольте	25	25
Тушь inisfree	1	True	тушь innisfree	32	0
кисти	70	False	кисти	31	31
Berrisom q10	1	False	Berrisom q10	30	30
гидрофильное масло для сухой кожи	7	False	гидрофильное масло для сухой кожи	30	30
жидкий консилер	16	False	жидкий консилер	25	25
Патчи для глаз `DEWYTREE	2	False	Патчи для глаз `DEWYTREE	30	30
ELIZAVECCA Moisture Hyaluronic Acid Memory Cream	1	False	ELIZAVECCA Moisture Hyaluronic Acid Memory Cream	32	32
Пудра компактная MISSHA M Radiance	1	False	Пудра компактная MISSHA M Radiance	28	28
Патчи холико	1	False	Патчи холико	32	32
enough collagen	3	False	enough collagen	28	28
adelline	5	False	adelline	0	0
отбел	7	False	отбел	32	32
флакон для паркюма	1	False	флакон для паркюма	28	28
база ,топ для гель лака	1	True	база, топ для гель-лака	31	0
точечный консилер	3	False	точечный консилер	30	30
[THESAEM] Natural Condition Cleansing Oil -	1	False	[THESAEM] Natural Condition Cleansing Oil -	32	32
зубная щетка	30	False	зубная щетка	32	32
Крандаш для глаз	3	True	карандаш для глаз	32	23
Mixit	4	False	Mixit	0	0
Mizon eye	19	False	Mizon eye	23	23
jeju volcanic lava	2	False	jeju volcanic lava	25	25
9192	1	False	9192	1	1
для жирных и секущихся волос	2	False	для жирных и секущихся волос	32	32
шампунь для роста волос	9	False	шампунь для роста волос	32	32
Cushion case аксессуар	3	False	Cushion case аксессуар	21	21
сыворотка для лица purito centella green level buffet serum	6	False	сыворотка для лица purito centella green level buffet serum	32	32
Золотая маска	10	False	Золотая маска	21	21
volcanic water mineral serum	40	False	volcanic water mineral serum	27	27
it’ s skin collagen	1	False	it’ s skin collagen	23	23
палетка теней	111	False	палетка теней	18	18
Супер аква ультра крем Миша	1	True	super aqua ultra крем missha	27	0
Ложка уно	5	False	Ложка уно	31	31
елизавета гиалуроновую кислота	5	False	елизавета гиалуроновую кислота	32	32
revectn	1	False	revectn	0	0
сыворотка из козьего молока	11	False	сыворотка из козьего молока	32	32
lifting	24	False	lifting	32	32
тонер для лица the saem	1	False	тонер для лица the saem	32	32
с углем	2	False	с углем	32	32
The skin house	2	False	The skin house	22	22
Патчи от синяков	7	False	Патчи от синяков	32	32
скрабы для лица	104	False	скрабы для лица	8	8
аска увлажняющая с алоэ и коллагеном Elizavecca Milky Piggy Herb Soul Hydro Aqua Jella Pack	1	False	аска увлажняющая с алоэ и коллагеном Elizavecca Milky Piggy Herb Soul Hydro Aqua Jella Pack	32	32
скраб для губ	98	False	скраб для губ	28	28
сс крема	28	False	сс крема	25	25
it’ s skin	38	False	it’ s skin	26	26
milatte	9	False	milatte	9	9
Дневная маска	4	False	Дневная маска	28	28
Крем для рук	2	False	Крем для рук	27	27
спонж	63	False	спонж	31	31
брови	16	False	брови	32	32
sulwhasoo	15	False	sulwhasoo	0	0
альгинатная маски	57	False	альгинатная маски	32	32
6664	9	False	6664	1	1
Wonder tension	2	False	Wonder tension	27	27
тоник для лица	123	False	тоник для лица	31	31
Combo	2	False	Combo	11	11
Jeju	7	False	Jeju	32	32
gudetama dough blusher or01	5	False	gudetama dough blusher or01	32	32
Cathy Doll	1	False	Cathy Doll	19	19
массаж	7	False	массаж	32	32
маска для сужения пор	20	False	маска для сужения пор	27	27
mizon collagen power	1	False	mizon collagen power	31	31
elizavecca крем	8	False	elizavecca крем	28	28
питательный тонер deoproce	1	False	питательный тонер deoproce	30	30
тканевые маски животных	1	False	тканевые маски животных	28	28
шампунь cp-1	14	False	шампунь cp-1	27	27
fkj'	4	True	алоэ	32	31
очищающие пилинг-подушечки	4	False	очищающие пилинг-подушечки	32	32
Bb-крем Color Change Blemish Balm от Welcos	1	False	Bb-крем Color Change Blemish Balm от Welcos	32	32
лечебные шампуни	4	False	лечебные шампуни	31	31
очищающа	1	True	очищающая	32	32
6300	7	False	6300	1	1
 Eyenlip Super Aqua	1	False	eyenlip super aqua	32	32
Face blemish balm	1	False	Face blemish balm	31	31
маска альгинатная anskin	41	False	маска альгинатная anskin	32	32
лошадиный	1	False	лошадиный	17	17
улиточный крем	15	False	улиточный крем	31	31
сыворотка с гиалуроновой	189	False	сыворотка с гиалуроновой	31	31
Альгинатная маска Anskin	3	False	Альгинатная маска Anskin	32	32
Elizavecca Witch Piggy Hell-Pore Galactomyces Pure Ampoule	1	False	Elizavecca Witch Piggy Hell-Pore Galactomyces Pure Ampoule	32	32
Тоник	115	False	Тоник	31	31
innisfree blueberry	2	False	innisfree blueberry	32	32
крем панда	8	True	крем panda	31	31
пластинки для век силиконовые	1	False	пластинки для век силиконовые	32	32
Near skin derma cosmetic	3	False	Near skin derma cosmetic	30	30
антивозрастной коллагеновый крем	26	False	антивозрастной коллагеновый крем	31	31
сыворотки мизон	1	True	сыворотки mizon	25	22
тени для глаз	37	False	тени для глаз	31	31
A'Pieu	11	False	A'Pieu	1	1
biomax крем	40	False	biomax крем	32	32
econyl	1	False	econyl	0	0
bts	16	False	bts	16	16
пилинг профессиональный сама кислотами	1	False	пилинг профессиональный сама кислотами	32	32
средства после бритья	4	False	средства после бритья	30	30
esthetic house cp-1	55	False	esthetic house cp-1	23	23
Farm stay	23	True	farmstay	28	29
White cream sonny fit	1	False	White cream sonny fit	32	32
пудра рассыпчатая	48	False	пудра рассыпчатая	16	16
улиточная косметика	12	False	улиточная косметика	27	27
3 ступенчатые маски для лица	1	False	3 ступенчатые маски для лица	25	25
Улиточная сыворотка	2	False	Улиточная сыворотка	28	28
enzyme	5	False	enzyme	19	19
Как правильно приклеить пач	1	False	Как правильно приклеить пач	32	32
argan oil welcos	2	False	argan oil welcos	26	26
90072	1	False	90072	0	0
Hydro Peptide	2	False	Hydro Peptide	31	31
Таблица с описанием пробников	1	False	Таблица с описанием пробников	32	32
piggy	7	False	piggy	32	32
Erborian	18	False	Erborian	0	0
илюминатор	3	True	иллюминатор	0	0
ГЕЛЬ ДЛЯ ФИКСАЦИИ БРОВЕЙ	4	False	ГЕЛЬ ДЛЯ ФИКСАЦИИ БРОВЕЙ	28	28
крема для кожи вокруг глаз	471	False	крема для кожи вокруг глаз	30	30
Гель пилинг	6	False	Гель пилинг	25	25
уход за кожей для подростков	20	False	уход за кожей для подростков	17	17
etude house контуринг	2	False	etude house контуринг	32	32
контуринг	41	False	контуринг	6	6
крем с змеинным ядом	10	True	крем с змеиным ядом	28	408
lip balm tube 10g	1	False	lip balm tube 10g	31	31
tony moly HD	1	False	tony moly HD	17	17
lador	219	False	lador	31	31
holika holika bb крем	6	False	holika holika bb крем	0	0
маска золото	2	False	маска золото	20	20
скраб для тела	34	False	скраб для тела	15	15
3w clinic	51	False	3w clinic	30	30
повышающий  защитный барьер	1	False	повышающий защитный барьер	32	32
зубная паста отбеливающая	66	False	зубная паста отбеливающая	23	23
entel	9	False	entel	22	22
Come-1	3	False	Come-1	0	0
сыворотка с гиалуроновой elizavecca	1	False	сыворотка с гиалуроновой elizavecca	20	20
Скатка	56	False	Скатка	31	31
мицеллярная вода	14	False	мицеллярная вода	31	31
la miso шампунь	75	False	la miso шампунь	30	30
Cp1	8	False	Cp1	16	16
Антивозрастной крем для век Deoproce Whee Hyang Whitening	1	False	Антивозрастной крем для век Deoproce Whee Hyang Whitening	32	32
Radiance foundation	3	False	Radiance foundation	32	32
косметика для увеличения обьема волос номер	2	False	косметика для увеличения обьема волос номер	32	32
роллер	4	True	roller	8	32
Наклейки	4	False	Наклейки	29	29
heimish all clean balm	13	False	heimish all clean balm	31	31
missha signature wrinkle full up	16	False	missha signature wrinkle full up	32	32
Крем для век коллагеновый Mizon Collagen Power Firming Eye Cream	1	False	Крем для век коллагеновый Mizon Collagen Power Firming Eye Cream	29	29
Holika Holika Soda Pore Cleansing Пена для глубокого очищения кожи 150мл	1	False	Holika Holika Soda Pore Cleansing Пена для глубокого очищения кожи 150мл	0	0
Золото	4	False	Золото	32	32
cell renew	12	False	cell renew	32	32
Патчи с муцином	1	False	Патчи с муцином	26	26
плацента	6	False	плацента	26	26
blithe	11	False	blithe	10	10
крем для век после50	19	False	крем для век после50	28	28
7399	1	False	7399	1	1
пенка скраб the saem natural condition scrub foam	3	False	пенка скраб the saem natural condition scrub foam	32	32
активатор для альгинатной маски	70	False	активатор для альгинатной маски	31	31
skin house white cristal	1	False	skin house white cristal	31	31
scin house крем	7	True	skin house крем	32	32
мезотерапия	1	False	мезотерапия	2	2
MINiATURE SET	9	False	MINiATURE SET	9	9
антивозрастные наборы	32	False	антивозрастные наборы	9	9
Cristal whitening plus serum	1	False	Cristal whitening plus serum	32	32
saint bamboo charcoal fresh cleansing foam	1	False	saint bamboo charcoal fresh cleansing foam	32	32
Скраб для тела	10	False	Скраб для тела	15	15
Гель для умывания	19	False	Гель для умывания	11	11
маска для кожи вокруг глаз	9	False	маска для кожи вокруг глаз	26	26
Вв крем тони моли	1	False	Вв крем тони моли	32	32
тональный крем сс	28	False	тональный крем сс	22	22
шампуни	62	False	шампуни	30	30
филлер lador	2	False	филлер lador	29	29
оъем губ	1	True	объем губ	22	172
Важные палочки	6	False	Важные палочки	16	16
missha m perfect cover bb cream	25	False	missha m perfect cover bb cream	32	32
кислородная пенка для лица	1	False	кислородная пенка для лица	15	15
климбазол	1	False	климбазол	1	1
3626	5	False	3626	1	1
bb-крем	10	False	bb-крем	19	19
Устойчивый тональный крем	3	False	Устойчивый тональный крем	32	32
G9 skin	1	False	G9 skin	26	26
сеточка для взбивания пены	67	False	сеточка для взбивания пены	26	26
hjpjdfz djlf	1	True	розовая вода	31	31
от морщин	3	False	от морщин	27	27
Jigott	10	False	Jigott	7	7
шампунь уход за жирной кожей головы kerasys scalp care sebum control deep cleansing shampoo	12	False	шампунь уход за жирной кожей головы kerasys scalp care sebum control deep cleansing shampoo	32	32
Скатка a pieu	1	False	Скатка a pieu	23	23
mini набор	1	False	mini набор	29	29
маска skinfood	10	False	маска skinfood	10	10
К	10	False	К	16	16
Алоэ	62	False	Алоэ	31	31
мимические морщины	1	False	мимические морщины	28	28
карбокситерапии	32	False	карбокситерапии	4	4
Secret Key Маска для роста волос	1	False	Secret Key Маска для роста волос	28	28
1854	8	False	1854	1	1
elizavecca сыворотка	58	False	elizavecca сыворотка	28	28
seantree	6	False	seantree	32	32
Спрей для тела	6	False	Спрей для тела	32	32
cledbel ultra lift 24k gold	13	False	cledbel ultra lift 24k gold	25	25
антивозрастная косметика	124	False	антивозрастная косметика	31	31
Маска на нос	2	False	Маска на нос	26	26
la miso	68	False	la miso	31	31
Сыворотка с минеральной вулканической водой the skin house volcanic whoter mineral serum	2	False	Сыворотка с минеральной вулканической водой the skin house volcanic whoter mineral serum	30	30
Шампуни	15	False	Шампуни	30	30
фруктовые сыворотки	27	False	фруктовые сыворотки	32	32
Koelf Ruby & Bulgarian Rose Eye Patch	1	False	Koelf Ruby & Bulgarian Rose Eye Patch	9	9
banana	5	False	banana	16	16
elmo	1	False	elmo	0	0
deporoce aloe	1	True	deoproce aloe	31	31
Cosrx	136	False	Cosrx	30	30
основа под тени	10	False	основа под тени	18	18
Японская расческа	2	False	Японская расческа	32	32
Troiariuke	1	False	Troiariuke	0	0
10788	1	False	10788	1	1
11542	9	False	11542	1	1
маска для волос lador	5	False	маска для волос lador	32	32
Личный кабинет	4	False	Личный кабинет	32	32
для мужчин	127	False	для мужчин	30	30
7293	3	False	7293	1	1
от темных кругов	8	False	от темных кругов	32	32
праймер tony moly	1	False	праймер tony moly	13	13
YE DAM YUN BIT SUNSHINE SNAIL COMBO CC CREAM	1	False	YE DAM YUN BIT SUNSHINE SNAIL COMBO CC CREAM	32	32
миноксидил	1	False	миноксидил	0	0
маска для проблемной кожи	5	False	маска для проблемной кожи	32	32
Маски с улиткой	1	False	Маски с улиткой	32	32
cc крем	21	False	cc крем	27	27
Наборы	17	False	Наборы	27	27
A'PIEU	9	False	A'PIEU	1	1
Jigott крем	75	False	Jigott крем	31	31
Missha eye	5	False	Missha eye	25	25
Inoface	6	False	Inoface	8	8
скатка	47	False	скатка	31	31
Патчи против мешков под глазами	2	False	Патчи против мешков под глазами	32	32
EYENLIP	18	False	EYENLIP	24	24
маски ночные возраст от 50 и старше	56	False	маски ночные возраст от 50 и старше	32	32
7 days	5	False	7 days	32	32
Сыворотка elizavecca	14	False	Сыворотка elizavecca	28	28
купон	13	False	купон	0	0
muzon	1	False	muzon	0	0
Missha magic cushion	1	False	Missha magic cushion	28	28
