weight	variant	ru_trans	eng_trans	init_query
3	мелкий	мейкси	dog maxi baby	мотыль мелкий aqua меню
3	очиски	мисси	missy	капли для очиски о шерсти
3	колики	голози	golosi fish all	же колики
1	ланч	лунч	lunch	dog ланч
2	грунт	гиант	puppy giant	грунт для сухопутной черепах и
2	чейз	кейр	care cat missy	best чейз
3	17кг	микс	loro parque mix	acana 17кг
6	электронный	селектион	tetra selection	электронный ошейник
3	цепь	бест	best dinner exclusive	цепь металлическая
1	хилс кг.	хилт	urinary tract health	хилс k/d 1.5 кг.
2	кд	кат	premium cat adult	hill's кд
3	хелвет кантарен перорального	догвет	happy dog vet	хелвет кантарен рр для перорального применения 20 мл
6	фитокомплекс очистительный	комплете	laga cavia complete	фитокомплекс очистительный веда
1	коат	кат	cat adult salmon	super коат
3	строгий металлический	стронг	strong	строгий металлический ошейник
3	сольфак	сулфат	sulfat	сольфак 1 л
1	канен	канин	canin babycat instinctive	royal канен
2	профикс	оромикс	fiory oro mix	профикс fit
2	превикокс,	ол	all breeds	превикокс,
4	попугаи	пуппи	puppy large breed	попугаи ветеринарные препараты
6	56х37х35	хигх	high quality	переноска для животных blueberry 56х37х35 см
8	многоразовая	падован	padovan premium	пелёнка многоразовая
7	впитывающая	витал	vital	пелёнка впитывающая многоразовая
3	мокрый	мор	more	мокрый happy dog
1	мальта софт	мальт	malt paste	мальта софт extra
2	софт	спот	spot	malt софт
3	лавета	лага	laga cuni	лавета super
1	кон	мон	gourmet mon	корм кон для котят меню №1
2	канвит биокаль	канин	canin neutered weight	канвит биокаль plus
2	канами хондро	канада	supreme canada	канами хондро maxi
4	игровой	индоор	golosi indoor	игровой комплекс
0	сан бернард	сан	san	и в сан бернард
1	евер	эвер	ever clean lavender	евер clean
3	гамак батарею	ламб	lamb	гамак для кошек на батарею
4	влажный	лайн	line lamb	влажный happy dog
0	клозет	клозет	closet	ви с и клозет
3	веткорм	вектра	vectra	веткорм farmina struvit
1	санабелль	санабелле	sanabelle	bosch санабелль
8	принадлежности	мираклджаст	miracle jast for	aqua принадлежности
4	нобивак	блак	black	нобивак
5	гельминтал	дентал	dental knot color	гельминтал
4	фасовка	орка	petstages orka	urinary s/o lp34 фасовка 1.5 кг
5	британских	бритиш	british shorthair adult	royal canin для британских кошек 2 кг
3	дулиент	деликейт	delicate junior	дулиент
3	синулокс	синглес	acana singles	синулокс
6	скворечник	кейнин	royal canin	скворечник
1	5м	эм	glm	5м поводок
4	мексидол	макси	line maxi	мексидол vet
4	кошачий	канин	canin sphynx	наполнитель кошачий
3	ветмедин	ветдит	canin vet diet	ветмедин
3	рыбки	турки	delicate junior turkey	рыбки
2	колесо	косо	coco	колесо для грызунов
5	намордник	карни	carny adult	намордник
3	одежда	омега	omega	одежда
3	обувь	оут	out	обувь
4	коньково	контрол	light calorie control	коньково
2	алезан	клеан	ever clean	алезан
5	ронколейкин	роял кейнин	royal canin mini	ронколейкин
4	вазотоп	топ	top condition	вазотоп
3	попона	проплан	pro plan junior	попона
6	подгузники	обезити	obesity management	подгузники
2	феливей	фелине	feline	Феливей
3	ботинки	батинг	padovan bathing send	Ботинки для собак
2	миска	мисси	missy for	миска
2	фебтал	дентал	dental knot color	фебтал
3	суролан	проплан	pro plan junior	суролан
4	воротник	оромикс	fiory oro mix	воротник
1	миски	мисси	missy for	миски
4	отибиовин	табимин	tabimin	отибиовин
1	хилс	хилт	urinary tract health	Хилс
5	превикокс	тримикс	tri mix	Превикокс
2	хомяк	хоме	home	хомяк
2	цамакс	макс	max	цамакс
3	фильтр	мульти	multi crystals	фильтр
4	компрессор	комплетол	complet all	Компрессор
3	поилки	хилти	puppy healthy development	поилки для грызунов
1	асд	усд	usd	асд
4	лежанки	клеан	ever clean fast	лежанки для собак
4	террариум	тетрамин	tetramin granules	террариум
2	лампа	лага	laga crispy snack	лампа
2	пропалин	проплан	pro plan dental	пропалин
2	онсиор	юниор	feinsten junior	онсиор
3	вольер	вафер	tetrapleco wafer	Вольер
3	байтрил	вайтпирл	white pearl	Байтрил
3	фильтры	ультра	ultra cube	фильтры
3	строгий	стронг	strong	Строгий ошейник
4	котэрвин	кат жсин	adult cat jcean	котэрвин
6	антицарапки	оптибаланке	optibalance large athletic	антицарапки
4	энроксил	эрси	nrc	Энроксил
2	секс барьер	стикс	goldfish colour sticks	Секс барьер
3	поилка	порк	line pork adult	Поилка
4	зоогурман	догман	dogman	Зоогурман
4	антисекс	стикс	cichlids sticks	Антисекс
2	эурикан	африкан	fiory african	эурикан
4	римадил	махи	maxi	римадил
4	памперсы	ваферс	tetrapleco veggie wafers	памперсы
5	милпразон	мерадог	meradog pure lamm	милпразон
5	комбинезон	комбо спот	frontline combo spot	комбинезон
3	вакцина	акана	acana heritage	вакцина
2	ципам	випан	vipan	Ципам
4	аквариума	картуна	optimal care tuna	Фильтр для аквариума
4	глобфел	голдфиш	goldfish colour	Глобфел
4	адресник	атлетик	adult athletic	Адресник
4	контейнер	трейнер	trainer natural kitten	контейнер
5	фоспренил	ренал	canin renal	фоспренил
2	носки	носе	nose	носки
6	мастометрин	матрикариа	matricaria	мастометрин
5	марфлоксин	флекси	flexi vario brown	марфлоксин
2	зорька	орка	petstages orka	зорька
3	бонусы	догусд	small dog usd	бонусы
1	биафар волос	беафар	beaphar vit	биафар двойная паста для выведения волос
1	анимода	анимонда	animonda rafin	анимода
4	овариовит	варио	flexi vario	Овариовит
4	лиарсин	лайн	line lamb	Лиарсин
2	баюн	баби	catzone baby powder	Кот баюн
6	комбенизоны	катсениор	monge cat senior	Комбенизоны
4	ипакитине	пакифика	pacifica for	Ипакитине
6	новогиреево	новфреш	now fresh adult	новогиреево
2	мячи	мини	mini lamb	Мячи для собак
1	рог	дог	dog junior grainfree	рог
1	мел	мейл	neutered young male	мел
3	хомяки	хоме	home	Хомяки
3	гамак	ламб	lamb	гамак
2	лошадиная сила	вилд	wild	шампунь лошадиная сила против перхоти
5	черепаха	сера	sera goldy gran	черепаха
5	фоспасим	шортаир	shorthair adult	фоспасим
2	секс барьер	стикс	goldfish colour sticks	секс барьер
4	мелоксидил	мелодимих	melodymix	мелоксидил
4	гемобаланс	оптибаланс	optibalance large athletic	гемобаланс
3	гарошик	карибик	karibic	гарошик
2	бандаж	банд	beaphar bio band	бандаж
3	апоквел	паркве	parque	апоквел
3	хорошка	орка	petstages orka tennis	Хорошка
1	форти флора	форте	dog arthro forte	Форти флора
7	нуклеопептид	хепейтик	royal canin hepatic	Нуклеопептид
2	кг)	дог	dog vet renal	Корм для собак Perfect Fit (0.5 кг)
4	гликопин	клумпин	strong clumpin	Гликопин
3	фитомины вывода	воод	wood	Веда Фитомины для вывода шерсти для кошек
3	гестренол	ветренал	cat vet renal	гестренол для котов
4	попугая	поуер	power	Для попугая
5	фортифлора	фиориоро	fiory oro mix	фортифлора
4	гельминт	гейрант	alders alders garant	гельминт
4	эмицидин	даилилин	daily line extra	эмицидин
4	перчатка	перфект	perfect weight medium	Перчатка
2	заточка клюв	блю	large blue	Заточка клюв
2	сфинксов	сфинкс	royal canin sphynx	Для сфинксов
4	ципровет	липлов	lip low	Ципровет
4	тоннель	кооне	coone kitten	Тоннель
3	мопсов	моусс	starter mousse	Для мопсов
1	см)	си	nrc	Впитывающие коврики Luxsan Premium для животных (60*90 см)
3	террамицин	тетрамин	tetramin baby	террамицин
2	сила	вилд	wild	сила
1	сева	сера	sera goldy gran	сева
5	светильник	вет лиф	farmina vet life	светильник
2	орозим	оромих	oro mix coco	орозим гель
2	купить шапку козырьком	шапе	bone shape	купить шапку с козырьком для собак
5	кокосовый	косо	oro mix coco	кокосовый
3	кантарен	канарини	padovan grandmix canarini	кантарен
4	ипакетине	активе	active longevity	ипакетине
3	лошадей	холидей	goldfish holiday	для лошадей
1	гепатик	хепатик	canin hepatic	гепатик
3	гамавит	гарант	garant	гамавит
3	вакцины	актинг	clean fast acting	вакцины
4	бровекто	протектион	protection adult	бровекто
4	аллюминум	платинум	platinum	аллюминум
2	цезарь	сезар	cesar	Цезарь
3	ферамон	мерадог	meradog	Ферамон
4	фелиферон	флиер	flyer	Фелиферон
5	травматин	рафин	animonda rafin soup	Травматин
1	сепия	сепиа	vitakraft sepia schale	Сепия
3	тележка	делика	repto delica shrimps	Рюкзак тележка
4	присоска	криспс	algae crisps	Присоска
3	олений	флехи	flexi vario blue	Олений рог
5	таблеткпх	азлетик	large adult athletic	Лиарсин в таблеткпх
5	лапомойка	анимонда	animonda vom feinsten	Лапомойка
5	лактостоп	косо	oro mix coco	Лактостоп
3	крышка	крок	golosi bigl croc	Крышка для аквариума
5	когтерезка	догтурки	dog turkey	Когтерезка
6	иммунофан	канинорал	royal canin oral	Иммунофан
5	защитный	канин	royal canin sensitivity	Защитный воротник
1	виси комкующий	вис	with rabbit	Виси клозет комкующий наполнитель
4	липучках	лигхткат	savarra light cat	Ботинки для собак на липучках
1	бонусная карта	карте	carte	Бонусная карта
1	бинт	бент	bent	Бинт
4	артрогликан	артроспира	arthrospira	Артрогликан
10	антигельминтозные	канин интенсе	canin intense beauty	Антигельминтозные
2	айда гулять	аква	clean aqua	Айда гулять
2	азикан	африкан	fiory african	Азикан
3	сергиев посад	план	plan adult hairball	Сергиев посад
2	марьина роща	орка	petstages orka	Марьина роща
4	попугай	поуер	power	попугай
2	карелл	каре	brit care junior	клетка для попугаев карелл
4	взрослые	верселе	versele laga laga	взрослые собаки
2	кг.	дог	dog vet renal	Hill's k/d 1.5 кг.
2	шиншилла	чинчилла	chinchilla	шиншилла
2	чему	мену	nature daily menu	чему спрей
2	ягненком,	ол	all breeds	Корм Monge Speciality Line Puppy & Junior Lamb для щенков всех пород с ягненком, рисом и картофелем
2	анти	тасти	tasty	Анти
1	ям	эм	glm	ям
5	подставка	петстагес	petstages orka	подставка
1	камни	карни	carny	камни
5	закрытый	актайв	catzone active carbon	лоток закрытый
3	хорькам	орка	petstages orka tennis	Хорькам
2	хорька	орка	petstages orka	Корм для хорька
2	запах	панах	panax	Запах
6	аквариумные	аквабреезе	aqua breeze	Аквариумные фильтры
3	фидика	африка	africa	фидика
4	пакетов	петфор	pet for cats	контейнер для пакетов
5	автогамак	арома	canin aroma exigent	автогамак
5	резиновые	регионалс	acana regionals	Резиновые игрушки
3	шприц	брит	brit care seabream	шприц
4	цитостат	китекат	kitekat	цитостат
3	фуринайд	уринари	urinary tract health	фуринайд
5	фитоэлита	фишол	golosi fish all	фитоэлита
4	фитомины	фиори	fiory fieno alpiland	фитомины
1	фито	фит	perfect fit	фито
1	уро урси	про	pro plan adult	уро урси
4	уриновет	уринари	protection urinary health	уриновет
3	улитки	мульти	multi crystals	улитки
3	трусы	турки	delicate junior turkey	трусы
2	травка	тракт	urinary tract health	травка
4	симболакт	смаллкат	hair small cat	симболакт
4	сверчки	энерги	goldfish energy	сверчки
3	салфетки	сатиети	satiety	салфетки
3	родные	кооне	maine coone	родные корма
3	проколин	протеин	canin protein	проколин
4	пробиотик	холистик	holistic indoor salmon	пробиотик
4	прививка	пиви	pvp	прививка нобивак
5	подгузник	догмини	dog mini toscana	подгузник
3	петушок	петпарк	pet park	петушок
2	волос	голоси	golosi tri	паста для выведения волос двойная
4	отсадник	оркастик	orka stick	отсадник
5	отибиовет	канинвет	royal canin vet diet	отибиовет
4	недоуздок	медиумдог	medium dog	недоуздок
1	натурел тренинг	натуре	junior nature	натурел тренинг
2	мультифел	мультипл	clean multiple	мультифел
2	мальтпаста	малтпасте	duo malt paste	мальтпаста
3	липомин	рептомин	tetra reptomin	липомин
4	ливеразол	ливер	liver	ливеразол
7	собакодежда	орандж	catzone orange	лежанки для собакодежда для собак
3	купить снигиря	куни	laga laga cuni	купить снигиря
2	дверца	дерма	plan derma plus	кошачья дверца
4	котервин	кейнин	canin gastro intestinal	котервин
2	эрвин	грин	fieno alpiland green	кот эрвин
5	настенная	натурал	natural	когтеточка настенная
2	кликер	флиер	flyer	кликер
2	каша	кат	premium cat adult	каша
5	имунофан	падован	padovan junior coniglietti	имунофан
3	жетон	тетра	tetra tetraplecotablets	жетон
