weight	variant	ru_trans	eng_trans	init_query
6	лактирующих	натуралмих	padovan naturalmix canarini	royal canin для лактирующих кошек
2	эдвансед	адванкед	adult advanced fitness	renal эдвансед
3	эдванс	эндрайс	beef and rice	renal эдванс
3	адванс	аква	ever clean aqua	renal адванс
1	реал	ренал	renal function	реал canin renal
1	раял	роял	royal canin adult	раял canin
0	проплан	проплан	pro plan junior	purina проплан для пожилых кошек
2	коллин	клин	clean multi crystals	pro коллин
4	деодный	дефенс	daily defence lamb	ошейник для собаки цветов деодный
4	отофенол	профешнал	professional herbivor	отофенол gold
2	бокс	микс	tetra tetrawafer mix	multi бокс для рулетки flexi
3	мелкий	мулти	tetra tetrapleco multi	мотыль мелкий aqua меню
3	очиски	мисси	missy for	капли для очиски о шерсти
3	колики	голоси	golosi	же колики
1	ланч	лунч	feinsten light lunch	dog ланч
2	грунт	гран	gran	грунт для сухопутной черепах и
2	чейз	шейп	bone shape	best чейз
3	17кг	микс	tetrawafer mini mix	acana 17кг
6	электронный	селектион	tetra selection	электронный ошейник
3	цепь	бееф	adult beef and	цепь металлическая
0	хилс кг.		oops!	хилс k/d 1.5 кг.
1	кд	3д	rolf club 3d	hill's кд
3	хелвет кантарен перорального	феррет	versele laga ferret	хелвет кантарен рр для перорального применения 20 мл
6	фитокомплекс очистительный	комплете	mineral complete	фитокомплекс очистительный веда
1	коат	кат	monge cat urinary	super коат
3	строгий металлический	стронг	extra strong	строгий металлический ошейник
3	сольфак	сулфат	sulfat	сольфак 1 л
1	канен	канин	canin yorkshire	royal канен
2	профикс	оромикс	oro mix	профикс fit
0	превикокс,		oops!	превикокс,
4	попугаи	пуппи	eukanuba puppy small	попугаи ветеринарные препараты
6	56х37х35	чихуахуа	canin chihuahua adult	переноска для животных blueberry 56х37х35 см
8	многоразовая	монгедог	monge dog	пелёнка многоразовая
7	впитывающая	витакрафт	vitakraft	пелёнка впитывающая многоразовая
3	мокрый	мор	more	мокрый happy dog
1	мальта софт	мальт	beaphar malt bits	мальта софт extra
2	софт	форт	spezial forte	malt софт
3	лавета	лага	laga cavia	лавета super
1	кон	бон	potty bone	корм кон для котят меню №1
2	канвит биокаль	канин	royal canin gastro	канвит биокаль plus
2	канами хондро	канада	dog supreme canada	канами хондро maxi
4	игровой	индоор	holistic indoor	игровой комплекс
0	сан бернард	сан	san	и в сан бернард
1	евер	эвер	ever clean multiple	евер clean
3	гамак батарею	снак	laga crispy snack	гамак для кошек на батарею
4	влажный	план	plan nutrisavour adult	влажный happy dog
0	клозет	клозет	wc closet	ви с и клозет
3	веткорм	петфор	miracle pet for	веткорм farmina struvit
1	санабелль	санабелле	sanabelle urinary	bosch санабелль
8	принадлежности	мираклджаст	miracle jast for	aqua принадлежности
4	нобивак	бифар	beaphar new	нобивак
5	гельминтал	дентал	pro plan dental	гельминтал
4	фасовка	асана	acana heritage puppy	urinary s/o lp34 фасовка 1.5 кг
5	британских	брит кар	brit care seabream	royal canin для британских кошек 2 кг
3	дулиент	диет	prescription diet	дулиент
3	синулокс	синглес	singles	синулокс
6	скворечник	кейнин	canin urinary	скворечник
1	5м	эм	glm	5м поводок
4	мексидол	хеппидог	happy dog	мексидол vet
4	кошачий	канин	canin pug	наполнитель кошачий
3	ветмедин	вет дит	vet diet	ветмедин
3	рыбки	турки	plan light turkey	рыбки
2	колесо	косо	mix coco	колесо для грызунов
5	намордник	канарини	padovan naturalmix canarini	намордник
3	одежда	дерма	plan derma	одежда
3	обувь	оут	out	обувь
4	коньково	контрол	chow hairball control	коньково
2	алезан	клеан	clean aqua breeze	алезан
5	ронколейкин	роял кейнин	royal canin digest	ронколейкин
4	вазотоп	зоом	zoom deluxe	вазотоп
3	попона	проплан	pro plan housecat	попона
6	подгузники	джуниор	canin mini junior	подгузники
2	феливей	фелине	feline	Феливей
3	ботинки	эзотики	padovan naturalmix esotici	Ботинки для собак
2	миска	микс	tetra tetrawafer mix	миска
2	фебтал	дентал	dental	фебтал
3	суролан	проплан	pro plan housecat	суролан
4	воротник	протеин	indigestible protein	воротник
1	миски	мисси	missy	миски
4	отибиовин	табимин	tabimin	отибиовин
1	хилс	хиллс	hill's	Хилс
5	превикокс	премиум	premium amazone	Превикокс
2	хомяк	хоме	home	хомяк
2	цамакс	макс	max	цамакс
3	фильтр	фит	perfect fit	фильтр
4	компрессор	комплетол	complet all breeds	Компрессор
3	поилки	даили	almo nature daily	поилки для грызунов
1	асд	юсд	small dog usd	асд
4	лежанки	еаси	easy croc	лежанки для собак
4	террариум	тетрамин	tetramin junior	террариум
2	лампа	ламб	holistic adult lamb	лампа
2	пропалин	проплан	pro plan	пропалин
2	онсиор	юниор	feinsten junior	онсиор
3	вольер	пуллер	puller standard	Вольер
3	байтрил	вайтпирл	white pearl	Байтрил
3	фильтры	ультра	ultra light	фильтры
3	строгий	стронг	extra strong	Строгий ошейник
4	котэрвин	катжсин	cat jcean	котэрвин
6	антицарапки	оптибаланке	pro plan optibalance	антицарапки
4	энроксил	энэрси	nrc	Энроксил
2	секс барьер	сера	sera red parrot	Секс барьер
3	поилка	делика	repto delica	Поилка
4	зоогурман	догман	dogman	Зоогурман
4	антисекс	активе	active	Антисекс
2	эурикан	африкан	african	эурикан
4	римадил	смалл	adult dog small	римадил
4	памперсы	алдерс	dr. alders	памперсы
5	милпразон	миракл	miracle jast for	милпразон
5	комбинезон	комплетол	golosi complet all	комбинезон
3	вакцина	актинг	clean fast acting	вакцина
2	ципам	випан	sera vipan	Ципам
4	аквариума	картуна	care tuna	Фильтр для аквариума
4	глобфел	голдфиш	goldfish granules	Глобфел
4	адресник	атлетик	large adult athletic	Адресник
4	контейнер	трейнер	trainer fitness	контейнер
5	фоспренил	комплетол	golosi complet all	фоспренил
2	носки	носе	nose	носки
6	мастометрин	сатиети	canin satiety	мастометрин
5	марфлоксин	малови	tetra malawi flakes	марфлоксин
2	зорька	орка	petstages orka tube	зорька
3	бонусы	догусд	dog usd	бонусы
1	биафар волос	бифар	beaphar vit bits	биафар двойная паста для выведения волос
1	анимода	анимонда	animonda vom feinsten	анимода
4	овариовит	варио	flexi vario blue	Овариовит
4	лиарсин	стаин	hard floor stain	Лиарсин
2	баюн	браун	flexi vario brown	Кот баюн
6	комбенизоны	комбо	combo spot	Комбенизоны
4	ипакитине	активе	active	Ипакитине
6	новогиреево	нов фреш	now fresh	новогиреево
2	мячи	мини	mini mix	Мячи для собак
1	рог	дог	nerf dog	рог
1	мел	мейл	male	мел
3	хомяки	хоме	home	Хомяки
3	гамак	снак	laga crispy snack	гамак
2	лошадиная сила	сера	sera red parrot	шампунь лошадиная сила против перхоти
5	черепаха	сера	sera goldy	черепаха
5	фоспасим	компакт	compact	фоспасим
2	секс барьер	сера	sera red parrot	секс барьер
4	мелоксидил	мелодимих	padovan melodymix	мелоксидил
4	гемобаланс	оптибаланс	plan optibalance	гемобаланс
3	гарошик	карибик	karibic	гарошик
2	бандаж	банд	bio band	бандаж
3	апоквел	паркве	parque	апоквел
3	хорошка	орка	petstages orka tire	Хорошка
1	форти флора	форт	haar spezial forte	Форти флора
7	нуклеопептид	клозет	closet cat	Нуклеопептид
0	кг)		oops!	Корм для собак Perfect Fit (0.5 кг)
4	гликопин	клумпин	clumpin	Гликопин
3	фитомины вывода	воод	dumbbelldog wood	Веда Фитомины для вывода шерсти для кошек
3	гестренол	ветренал	cat vet renal	гестренол для котов
4	попугая	попкорн	popcorn	Для попугая
5	фортифлора	фиори оро	fiory oro	фортифлора
4	гельминт	фелине	feline kitten	гельминт
4	эмицидин	даилилин	daily line extra	эмицидин
4	перчатка	перфект	perfect fit junior	Перчатка
2	заточка клюв	клуб	club	Заточка клюв
2	сфинксов	сфинкс	canin sphynx adult	Для сфинксов
4	ципровет	липлов	lip low	Ципровет
4	тоннель	рояль	royal	Тоннель
3	мопсов	моуссе	starter mousse	Для мопсов
0	см)		oops!	Впитывающие коврики Luxsan Premium для животных (60*90 см)
3	террамицин	тетрамин	tetra tetramin holiday	террамицин
2	сила	сера	sera red parrot	сила
1	сева	сера	sera goldy gran	сева
5	светильник	вет лиф	farmina vet life	светильник
2	орозим	оромих	fiory oro mix	орозим гель
2	купить шапку козырьком	шампу	shed control shampoo	купить шапку с козырьком для собак
5	кокосовый	кокорит	grandmix cocorite	кокосовый
3	кантарен	канарини	padovan naturalmix canarini	кантарен
4	ипакетине	активе	active	ипакетине
3	лошадей	холидей	tetra goldfish holiday	для лошадей
1	гепатик	хепатик	royal canin hepatic	гепатик
3	гамавит	гарант	alders garant	гамавит
3	вакцины	актинг	clean fast acting	вакцины
4	бровекто	репто	tetra repto	бровекто
4	аллюминум	платинум	platinum line	аллюминум
1	цезарь	цезар	cesar	Цезарь
3	ферамон	тетрамин	tetra tetramin holiday	Ферамон
4	фелиферон	флиер	orka flyer	Фелиферон
5	травматин	табимин	tabimin	Травматин
1	сепия	сепиа	vitakraft sepia	Сепия
3	тележка	делика	repto delica	Рюкзак тележка
4	присоска	криспс	tetrapro algae crisps	Присоска
3	олений	бленд	crystals blend	Олений рог
5	таблеткпх	азлетик	large adult athletic	Лиарсин в таблеткпх
5	лапомойка	анимонда	animonda carny adult	Лапомойка
5	лактостоп	лайткат	light cat	Лактостоп
3	крышка	крок	bigl croc maxi	Крышка для аквариума
5	когтерезка	догтурки	dog turkey	Когтерезка
6	иммунофан	пейдован	padovan grandmix	Иммунофан
5	защитный	катнип	beaphar catnip	Защитный воротник
1	виси комкующий	вис	with shrimps	Виси клозет комкующий наполнитель
4	липучках	лигхткат	light cat	Ботинки для собак на липучках
1	бонусная карта	карте	carte	Бонусная карта
1	бинт	бент	bent classic	Бинт
4	артрогликан	артроспира	arthrospira	Артрогликан
10	антигельминтозные	канин интенсе	canin intense	Антигельминтозные
2	айда гулять	аква	ever clean aqua	Айда гулять
2	азикан	африкан	african	Азикан
3	сергиев посад	план	plan pro	Сергиев посад
2	марьина роща	орка	petstages orka tube	Марьина роща
4	попугай	попкорн	popcorn	попугай
2	карелл	каре	brit care chicken	клетка для попугаев карелл
4	взрослые	верселе	versele laga hamster	взрослые собаки
0	кг.		oops!	Hill's k/d 1.5 кг.
2	шиншилла	чинчилла	versele laga chinchilla	шиншилла
2	чему	мену	light menu	чему спрей
0	ягненком,		oops!	Корм Monge Speciality Line Puppy & Junior Lamb для щенков всех пород с ягненком, рисом и картофелем
2	анти	апи	api-san	Анти
1	ям	эм	glm	ям
